,P7,P28,P70
614,45.006,31.069,7.16
615,42.001,1.023,2.685
616,10.037,57.536,56.002
617,26.658,31.069,27.489
618,40.403,55.171,17.325
619,54.915,42.001,4.923
620,90.204,49.033,32.284
621,5.818,45.645,55.49
622,4.219,55.298,6.201
623,22.823,3.772,18.028
624,35.417,56.257,66.55
625,49.225,53.7,38.485
626,10.676,18.667,52.933
627,32.156,50.696,49.353
628,3.964,7.927,2.301
629,64.888,54.531,52.358
630,48.97,35.161,61.564
631,37.782,39.572,7.799
632,24.868,1.151,43.152
633,29.024,21.928,42.065
634,48.906,33.435,73.071
635,40.787,59.901,49.737
636,36.376,38.549,35.992
637,32.476,12.786,36.567
638,3.772,35.161,57.088
639,2.301,50.76,47.947
640,31.006,33.882,48.394
641,63.929,31.837,37.271
642,43.28,40.531,87.838
643,36.823,22.119,124.15
644,51.846,59.518,39.444
645,55.554,58.815,2.813
646,39.188,57.792,35.417
647,11.06,34.586,55.235
648,38.997,43.408,87.007
649,44.367,47.243,29.663
650,1.534,28.704,34.458
651,30.238,1.406,53.7
652,44.878,63.29,42.321
653,47.563,10.932,51.463
654,16.622,8.375,36.12
655,95.957,64.249,59.39
656,38.741,44.303,68.979
657,46.285,57.152,42.129
658,37.526,49.737,182.389
659,1.854,1.662,48.202
660,36.695,15.023,44.431
661,11.507,55.874,88.989
662,42.704,45.773,29.024
663,61.564,65.975,34.522
664,47.116,4.539,71.728
665,12.338,37.143,86.304
666,57.088,26.019,23.909
667,36.312,26.019,28.065
668,32.092,58.687,74.925
669,40.978,11.635,74.349
670,7.416,23.782,54.531
671,55.938,2.301,32.028
672,39.508,22.119,119.867
673,7.544,45.326,10.676
674,1.47,50.887,37.398
675,57.344,55.362,1.918
676,54.979,66.23,41.298
677,29.216,14.256,63.801
678,61.308,30.75,45.581
679,14.384,54.915,35.033
680,15.407,30.366,48.586
681,7.16,28.32,65.399
682,28.001,31.964,44.878
683,28.512,26.786,53.7
684,12.466,54.02,48.202
685,22.95,47.116,37.846
686,41.682,8.822,3.196
687,2.877,43.088,57.025
688,101.647,60.349,55.298
689,65.207,35.928,50.376
690,26.467,20.393,36.439
691,43.855,41.554,46.029
692,29.407,30.814,43.791
693,6.009,30.686,39.188
694,29.216,27.681,38.293
695,24.932,103.757,84.003
696,12.658,15.663,52.55
697,38.038,25.635,22.183
698,26.211,39.892,57.536
699,11.699,32.156,63.162
700,60.157,4.347,21.8
701,38.485,44.111,41.554
702,35.864,36.376,35.8
703,40.467,57.856,115.072
704,8.439,45.581,25.699
705,13.169,37.271,2.877
706,70.961,50.76,47.18
707,22.695,12.402,6.968
708,31.261,37.271,9.781
709,20.265,45.709,11.635
710,3.005,25.188,78.313
711,20.393,4.795,65.655
712,27.17,43.983,44.431
713,24.996,39.508,44.239
714,26.211,42.257,37.718
715,57.472,40.147,76.075
716,31.261,4.539,1.79
717,3.005,62.842,73.071
718,2.685,39.252,40.147
719,10.868,30.558,23.718
720,20.393,34.905,68.787
721,32.923,57.92,73.71
722,29.088,33.627,39.828
723,24.804,8.311,79.016
724,32.412,7.352,85.856
725,10.101,35.225,52.55
726,20.138,14.895,50.312
727,20.074,19.882,28.129
728,4.411,60.796,65.144
729,35.736,63.098,33.627
730,17.644,28.832,50.823
731,27.425,37.526,49.417
732,1.151,51.271,37.143
733,47.371,41.234,59.134
734,30.686,17.9,49.353
735,38.805,41.682,93.4
736,1.598,58.495,59.326
737,3.388,27.681,51.527
738,12.21,23.909,32.668
739,3.9,83.811,33.435
740,28.257,36.312,11.571
741,11.443,53.253,33.307
742,33.051,47.563,6.393
743,23.462,12.978,43.28
744,44.878,9.589,10.165
745,18.475,16.749,34.777
746,25.572,50.12,31.453
747,31.709,61.691,38.933
748,26.019,62.267,13.873
749,0.959,61.947,59.837
750,9.909,60.157,7.224
751,27.106,54.212,1.918
752,23.654,5.05,50.887
753,7.352,2.749,79.847
754,17.005,3.708,43.408
755,36.567,4.986,69.491
756,4.411,71.984,43.28
757,25.955,5.69,50.696
758,29.919,21.992,70.194
759,26.147,67.701,39.828
760,18.028,50.312,1.854
761,21.672,60.669,35.864
762,30.558,42.385,36.12
763,22.631,45.965,34.394
764,42.577,44.111,14.576
765,33.563,13.553,1.662
766,5.945,5.242,83.299
767,25.38,18.475,36.823
768,52.358,118.588,57.344
769,26.275,36.631,32.476
770,26.722,51.335,58.559
771,23.782,49.865,39.061
772,22.119,38.229,64.376
773,20.521,23.398,36.184
774,2.238,20.01,33.499
775,31.645,31.837,56.321
776,20.521,59.006,29.024
777,28.576,50.12,37.846
778,36.376,44.558,22.311
779,26.53,35.544,4.795
780,31.964,38.805,14.256
781,21.224,13.873,1.726
782,19.69,15.215,32.604
783,23.334,29.599,65.847
784,66.678,39.764,23.909
785,4.603,56.513,33.627
786,36.823,48.202,1.406
787,38.038,30.942,3.708
788,18.092,37.398,2.749
789,110.277,16.366,51.335
790,19.307,5.05,13.617
791,29.279,53.125,15.087
792,31.709,4.795,51.207
793,8.63,25.635,49.609
794,12.53,46.732,65.911
795,23.078,44.686,16.238
796,29.088,43.663,22.759
797,20.841,59.326,4.667
798,12.402,49.737,66.55
799,27.362,60.349,48.33
800,77.546,56.961,43.472
801,69.363,5.37,80.295
802,24.932,64.632,20.457
803,69.874,47.499,75.82
804,20.074,51.655,69.043
805,34.394,28.576,58.047
806,21.672,45.262,69.874
807,51.527,28.129,53.828
808,36.503,38.805,48.842
809,25.827,59.965,53.508
810,16.622,50.12,18.028
811,9.398,9.973,6.009
812,4.028,19.882,67.956
813,27.425,70.641,20.457
814,14.384,49.353,4.155
815,73.582,38.421,3.516
816,17.772,24.74,6.968
817,6.009,3.196,55.682
818,35.097,52.869,70.514
819,42.449,26.211,42.96
820,30.047,58.942,74.094
821,5.69,39.508,8.566
822,31.453,3.9,49.801
823,5.498,41.042,49.673
824,16.558,70.961,75.372
825,24.357,15.79,39.764
826,18.603,41.809,32.54
827,30.302,32.412,47.052
828,29.983,32.732,52.486
829,33.563,45.773,80.806
830,18.667,66.422,52.038
831,21.736,35.033,29.599
832,29.088,6.457,9.142
833,26.211,73.135,74.541
834,11.507,48.842,32.22
835,21.097,48.778,66.614
836,36.056,82.66,58.367
837,21.097,68.148,57.28
838,38.997,27.617,44.303
839,46.668,51.399,73.518
840,20.01,13.809,4.859
841,39.061,45.39,40.659
842,32.348,36.439,31.069
843,27.681,37.079,15.087
844,39.444,31.006,68.34
